"","Participant.Private.ID","Eye.Condition","Task.Name","Spreadsheet","Trial.Number","structure","xR","yR","xL","yL","size","Reaction.Time"
"100",4332728,"Binoc","Fitts's Law","right","4","pos5Size3",8,46,92,46,5,673
"101",4332728,"Binoc","Fitts's Law","right","4","pos1Size2",40,40,60,40,10,1023
"102",4332728,"Binoc","Fitts's Law","right","4","pos1Size2",40,40,60,40,10,669
"103",4332728,"Binoc","Fitts's Law","right","4","pos4Size2",74,74,26,74,10,574
"104",4332728,"Binoc","Fitts's Law","right","4","pos4Size2",74,74,26,74,10,693
"105",4332728,"Binoc","Fitts's Law","right","4","pos5Size2",8,46,92,46,10,678
"106",4332728,"Binoc","Fitts's Law","right","4","pos5Size2",8,46,92,46,10,600
"107",4332728,"Binoc","Fitts's Law","right","4","pos1Size1",40,40,60,40,20,581
"108",4332728,"Binoc","Fitts's Law","right","4","pos1Size1",40,40,60,40,20,507
"109",4332728,"Binoc","Fitts's Law","right","4","pos4Size1",74,74,26,74,20,617
"110",4332728,"Binoc","Fitts's Law","right","4","pos4Size1",74,74,26,74,20,570
"111",4332728,"Binoc","Fitts's Law","right","4","pos1Size3",40,40,60,40,5,611
"112",4332728,"Binoc","Fitts's Law","right","4","pos1Size3",40,40,60,40,5,715
"113",4332728,"Binoc","Fitts's Law","right","4","pos2Size3",20,25,80,25,5,555
"114",4332728,"Binoc","Fitts's Law","right","4","pos2Size3",20,25,80,25,5,659
"115",4332728,"Binoc","Fitts's Law","right","4","pos4Size3",74,74,26,74,5,501
"116",4332728,"Binoc","Fitts's Law","right","4","pos4Size3",74,74,26,74,5,732
"117",4332728,"Binoc","Fitts's Law","right","4","pos2Size1",20,25,80,25,20,776
"118",4332728,"Binoc","Fitts's Law","right","4","pos2Size1",20,25,80,25,20,382
"119",4332728,"Binoc","Fitts's Law","right","4","pos3Size2",41,71,59,71,10,479
"120",4332728,"Binoc","Fitts's Law","right","4","pos3Size2",41,71,59,71,10,607
"121",4332728,"Binoc","Fitts's Law","right","4","pos5Size1",8,46,92,46,20,704
"122",4332728,"Binoc","Fitts's Law","right","4","pos5Size1",8,46,92,46,20,481
"124",4332728,"Binoc","Fitts's Law","right","5","pos1Size2",40,40,60,40,10,1010
"125",4332728,"Binoc","Fitts's Law","right","5","pos1Size2",40,40,60,40,10,473
"126",4332728,"Binoc","Fitts's Law","right","5","pos3Size1",41,71,59,71,20,429
"127",4332728,"Binoc","Fitts's Law","right","5","pos3Size1",41,71,59,71,20,474
"128",4332728,"Binoc","Fitts's Law","right","5","pos4Size2",74,74,26,74,10,597
"129",4332728,"Binoc","Fitts's Law","right","5","pos4Size2",74,74,26,74,10,842
"130",4332728,"Binoc","Fitts's Law","right","5","pos5Size2",8,46,92,46,10,463
"131",4332728,"Binoc","Fitts's Law","right","5","pos5Size2",8,46,92,46,10,521
"132",4332728,"Binoc","Fitts's Law","right","5","pos5Size1",8,46,92,46,20,572
"133",4332728,"Binoc","Fitts's Law","right","5","pos5Size1",8,46,92,46,20,457
"134",4332728,"Binoc","Fitts's Law","right","5","pos4Size3",74,74,26,74,5,566
"135",4332728,"Binoc","Fitts's Law","right","5","pos4Size3",74,74,26,74,5,791
"136",4332728,"Binoc","Fitts's Law","right","5","pos2Size1",20,25,80,25,20,1069
"137",4332728,"Binoc","Fitts's Law","right","5","pos2Size1",20,25,80,25,20,469
"138",4332728,"Binoc","Fitts's Law","right","5","pos5Size3",8,46,92,46,5,500
"139",4332728,"Binoc","Fitts's Law","right","5","pos5Size3",8,46,92,46,5,803
"140",4332728,"Binoc","Fitts's Law","right","5","pos2Size3",20,25,80,25,5,556
"141",4332728,"Binoc","Fitts's Law","right","5","pos2Size3",20,25,80,25,5,685
"142",4332728,"Binoc","Fitts's Law","right","5","pos3Size2",41,71,59,71,10,491
"143",4332728,"Binoc","Fitts's Law","right","5","pos3Size2",41,71,59,71,10,637
"144",4332728,"Binoc","Fitts's Law","right","5","pos2Size2",20,25,80,25,10,654
"145",4332728,"Binoc","Fitts's Law","right","5","pos2Size2",20,25,80,25,10,511
"146",4332728,"Binoc","Fitts's Law","right","5","pos4Size1",74,74,26,74,20,461
"147",4332728,"Binoc","Fitts's Law","right","5","pos4Size1",74,74,26,74,20,603
"148",4332728,"Binoc","Fitts's Law","right","5","pos1Size1",40,40,60,40,20,623
"149",4332728,"Binoc","Fitts's Law","right","5","pos1Size1",40,40,60,40,20,480
"150",4332728,"Binoc","Fitts's Law","right","5","pos1Size3",40,40,60,40,5,514
"151",4332728,"Binoc","Fitts's Law","right","5","pos1Size3",40,40,60,40,5,568
"152",4332728,"Binoc","Fitts's Law","right","5","pos3Size3",41,71,59,71,5,544
"153",4332728,"Binoc","Fitts's Law","right","5","pos3Size3",41,71,59,71,5,823
"154",4332728,"Binoc","Fitts's Law","right","6","pos4Size3",74,74,26,74,5,601
"155",4332728,"Binoc","Fitts's Law","right","6","pos4Size3",74,74,26,74,5,854
"156",4332728,"Binoc","Fitts's Law","right","6","pos3Size1",41,71,59,71,20,633
"157",4332728,"Binoc","Fitts's Law","right","6","pos3Size1",41,71,59,71,20,619
"158",4332728,"Binoc","Fitts's Law","right","6","pos4Size1",74,74,26,74,20,587
"159",4332728,"Binoc","Fitts's Law","right","6","pos4Size1",74,74,26,74,20,601
"160",4332728,"Binoc","Fitts's Law","right","6","pos2Size3",20,25,80,25,5,654
"161",4332728,"Binoc","Fitts's Law","right","6","pos2Size3",20,25,80,25,5,630
"162",4332728,"Binoc","Fitts's Law","right","6","pos1Size3",40,40,60,40,5,397
"163",4332728,"Binoc","Fitts's Law","right","6","pos1Size3",40,40,60,40,5,486
"164",4332728,"Binoc","Fitts's Law","right","6","pos1Size1",40,40,60,40,20,504
"165",4332728,"Binoc","Fitts's Law","right","6","pos1Size1",40,40,60,40,20,425
"166",4332728,"Binoc","Fitts's Law","right","6","pos3Size3",41,71,59,71,5,568
"167",4332728,"Binoc","Fitts's Law","right","6","pos3Size3",41,71,59,71,5,733
"168",4332728,"Binoc","Fitts's Law","right","6","pos5Size1",8,46,92,46,20,572
"169",4332728,"Binoc","Fitts's Law","right","6","pos5Size1",8,46,92,46,20,476
"170",4332728,"Binoc","Fitts's Law","right","6","pos4Size2",74,74,26,74,10,511
"171",4332728,"Binoc","Fitts's Law","right","6","pos4Size2",74,74,26,74,10,584
"172",4332728,"Binoc","Fitts's Law","right","6","pos1Size2",40,40,60,40,10,825
"173",4332728,"Binoc","Fitts's Law","right","6","pos1Size2",40,40,60,40,10,660
"174",4332728,"Binoc","Fitts's Law","right","6","pos2Size1",20,25,80,25,20,467
"175",4332728,"Binoc","Fitts's Law","right","6","pos2Size1",20,25,80,25,20,438
"176",4332728,"Binoc","Fitts's Law","right","6","pos3Size2",41,71,59,71,10,502
"177",4332728,"Binoc","Fitts's Law","right","6","pos3Size2",41,71,59,71,10,545
"178",4332728,"Binoc","Fitts's Law","right","6","pos2Size2",20,25,80,25,10,555
"179",4332728,"Binoc","Fitts's Law","right","6","pos2Size2",20,25,80,25,10,1148
"180",4332728,"Binoc","Fitts's Law","right","6","pos5Size3",8,46,92,46,5,502
"181",4332728,"Binoc","Fitts's Law","right","6","pos5Size3",8,46,92,46,5,702
"182",4332728,"Binoc","Fitts's Law","right","6","pos5Size2",8,46,92,46,10,733
"183",4332728,"Binoc","Fitts's Law","right","6","pos5Size2",8,46,92,46,10,518
"184",4332728,"Binoc","Fitts's Law","right","7","pos2Size3",20,25,80,25,5,925
"185",4332728,"Binoc","Fitts's Law","right","7","pos2Size3",20,25,80,25,5,545
"186",4332728,"Binoc","Fitts's Law","right","7","pos1Size2",40,40,60,40,10,463
"187",4332728,"Binoc","Fitts's Law","right","7","pos1Size2",40,40,60,40,10,1029
"188",4332728,"Binoc","Fitts's Law","right","7","pos2Size1",20,25,80,25,20,1230
"189",4332728,"Binoc","Fitts's Law","right","7","pos2Size1",20,25,80,25,20,486
"190",4332728,"Binoc","Fitts's Law","right","7","pos5Size1",8,46,92,46,20,566
"191",4332728,"Binoc","Fitts's Law","right","7","pos5Size1",8,46,92,46,20,473
"192",4332728,"Binoc","Fitts's Law","right","7","pos3Size3",41,71,59,71,5,581
"193",4332728,"Binoc","Fitts's Law","right","7","pos3Size3",41,71,59,71,5,783
"194",4332728,"Binoc","Fitts's Law","right","7","pos5Size2",8,46,92,46,10,692
"195",4332728,"Binoc","Fitts's Law","right","7","pos5Size2",8,46,92,46,10,511
"196",4332728,"Binoc","Fitts's Law","right","7","pos4Size3",74,74,26,74,5,730
"197",4332728,"Binoc","Fitts's Law","right","7","pos4Size3",74,74,26,74,5,812
"198",4332728,"Binoc","Fitts's Law","right","7","pos4Size1",74,74,26,74,20,722
"199",4332728,"Binoc","Fitts's Law","right","7","pos4Size1",74,74,26,74,20,604
"200",4332728,"Binoc","Fitts's Law","right","7","pos1Size1",40,40,60,40,20,665
"201",4332728,"Binoc","Fitts's Law","right","7","pos1Size1",40,40,60,40,20,470
"202",4332728,"Binoc","Fitts's Law","right","7","pos4Size2",74,74,26,74,10,603
"203",4332728,"Binoc","Fitts's Law","right","7","pos4Size2",74,74,26,74,10,612
"204",4332728,"Binoc","Fitts's Law","right","7","pos3Size2",41,71,59,71,10,660
"205",4332728,"Binoc","Fitts's Law","right","7","pos3Size2",41,71,59,71,10,652
"206",4332728,"Binoc","Fitts's Law","right","7","pos1Size3",40,40,60,40,5,563
"207",4332728,"Binoc","Fitts's Law","right","7","pos1Size3",40,40,60,40,5,575
"208",4332728,"Binoc","Fitts's Law","right","7","pos3Size1",41,71,59,71,20,778
"209",4332728,"Binoc","Fitts's Law","right","7","pos3Size1",41,71,59,71,20,564
"210",4332728,"Binoc","Fitts's Law","right","7","pos2Size2",20,25,80,25,10,633
"211",4332728,"Binoc","Fitts's Law","right","7","pos2Size2",20,25,80,25,10,530
"212",4332728,"Binoc","Fitts's Law","right","7","pos5Size3",8,46,92,46,5,520
"213",4332728,"Binoc","Fitts's Law","right","7","pos5Size3",8,46,92,46,5,579
"214",4332728,"Binoc","Fitts's Law","right","8","pos1Size3",40,40,60,40,5,537
"215",4332728,"Binoc","Fitts's Law","right","8","pos1Size3",40,40,60,40,5,703
"216",4332728,"Binoc","Fitts's Law","right","8","pos3Size2",41,71,59,71,10,766
"217",4332728,"Binoc","Fitts's Law","right","8","pos3Size2",41,71,59,71,10,638
"218",4332728,"Binoc","Fitts's Law","right","8","pos2Size2",20,25,80,25,10,665
"219",4332728,"Binoc","Fitts's Law","right","8","pos2Size2",20,25,80,25,10,554
"220",4332728,"Binoc","Fitts's Law","right","8","pos3Size1",41,71,59,71,20,491
"221",4332728,"Binoc","Fitts's Law","right","8","pos3Size1",41,71,59,71,20,495
"222",4332728,"Binoc","Fitts's Law","right","8","pos4Size1",74,74,26,74,20,813
"223",4332728,"Binoc","Fitts's Law","right","8","pos4Size1",74,74,26,74,20,557
"224",4332728,"Binoc","Fitts's Law","right","8","pos2Size3",20,25,80,25,5,623
"225",4332728,"Binoc","Fitts's Law","right","8","pos2Size3",20,25,80,25,5,597
"226",4332728,"Binoc","Fitts's Law","right","8","pos5Size2",8,46,92,46,10,568
"227",4332728,"Binoc","Fitts's Law","right","8","pos5Size2",8,46,92,46,10,520
"228",4332728,"Binoc","Fitts's Law","right","8","pos1Size2",40,40,60,40,10,565
"229",4332728,"Binoc","Fitts's Law","right","8","pos1Size2",40,40,60,40,10,516
"230",4332728,"Binoc","Fitts's Law","right","8","pos5Size3",8,46,92,46,5,562
"231",4332728,"Binoc","Fitts's Law","right","8","pos5Size3",8,46,92,46,5,563
"232",4332728,"Binoc","Fitts's Law","right","8","pos1Size1",40,40,60,40,20,516
"233",4332728,"Binoc","Fitts's Law","right","8","pos1Size1",40,40,60,40,20,445
"234",4332728,"Binoc","Fitts's Law","right","8","pos3Size3",41,71,59,71,5,653
"235",4332728,"Binoc","Fitts's Law","right","8","pos3Size3",41,71,59,71,5,714
"236",4332728,"Binoc","Fitts's Law","right","8","pos4Size3",74,74,26,74,5,875
"237",4332728,"Binoc","Fitts's Law","right","8","pos4Size3",74,74,26,74,5,826
"238",4332728,"Binoc","Fitts's Law","right","8","pos2Size1",20,25,80,25,20,617
"239",4332728,"Binoc","Fitts's Law","right","8","pos2Size1",20,25,80,25,20,454
"240",4332728,"Binoc","Fitts's Law","right","8","pos4Size2",74,74,26,74,10,493
"241",4332728,"Binoc","Fitts's Law","right","8","pos4Size2",74,74,26,74,10,586
"242",4332728,"Binoc","Fitts's Law","right","8","pos5Size1",8,46,92,46,20,530
"243",4332728,"Binoc","Fitts's Law","right","8","pos5Size1",8,46,92,46,20,456
"247",4333569,"Binoc","Fitts's Law","right","1","pos5Size2",8,46,92,46,10,6889.60000038147
"248",4333569,"Binoc","Fitts's Law","right","1","pos5Size2",8,46,92,46,10,2619.09999990463
"249",4333569,"Binoc","Fitts's Law","right","1","pos2Size2",20,25,80,25,10,1256.2999997139
"250",4333569,"Binoc","Fitts's Law","right","1","pos2Size2",20,25,80,25,10,1354.5
"251",4333569,"Binoc","Fitts's Law","right","1","pos3Size1",41,71,59,71,20,1417.69999980927
"252",4333569,"Binoc","Fitts's Law","right","1","pos3Size1",41,71,59,71,20,1401.09999990463
"253",4333569,"Binoc","Fitts's Law","right","1","pos1Size1",40,40,60,40,20,1118.09999990463
"254",4333569,"Binoc","Fitts's Law","right","1","pos1Size1",40,40,60,40,20,784.599999904633
"255",4333569,"Binoc","Fitts's Law","right","1","pos3Size3",41,71,59,71,5,1088.80000019073
"256",4333569,"Binoc","Fitts's Law","right","1","pos3Size3",41,71,59,71,5,1213
"257",4333569,"Binoc","Fitts's Law","right","1","pos4Size1",74,74,26,74,20,1352.10000038147
