Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qd1r,branch-4d91,branch-6e1m,branch-6mdr,branch-751i,branch-lwwt,branch-7gxz,branch-bbdp,branch-qi5c,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER
5,1642074397498,13/01/2022 11:46:37,1642074396952,0,13/01/2022 11:46:36,53563,21,task-ptdz,,18488478,BLIND,5470308,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.55,1280x720,1280x569,,Eye dominance,4,oneFirst,,,,,163,Right,163,Right,Spreadsheet1,Spreadsheet1,4,1,1,Screen 1,buttonA,response_button_text,2862.1999999999534,,,Left,1,0,1,0,,,,,,response,
6,1642074397594,13/01/2022 11:46:37,1642074396955,0,13/01/2022 11:46:36,53563,21,task-ptdz,,18488478,BLIND,5470308,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.55,1280x720,1280x569,,Eye dominance,4,oneFirst,,,,,163,Right,163,Right,Spreadsheet1,,,END TASK,,,,,112499,,,,,0,1,0,,,,,,,
1,1641142853163,02/01/2022 17:00:53,1641142853264,0,02/01/2022 17:00:53,53563,21,task-ptdz,,18261394,BLIND,5410548,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.62,1123x632,1123x526,,Eye dominance,4,bothFirst,178,Right,178,Right,,,,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1641142854426,02/01/2022 17:00:54,1641142854569,0,02/01/2022 17:00:54,53563,21,task-ptdz,,18261394,BLIND,5410548,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.62,1123x632,1123x526,,Eye dominance,4,bothFirst,178,Right,178,Right,,,,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,1184.8999999761581,,,,,0,1,0,,,,,,intro,
3,1641142856349,02/01/2022 17:00:56,1641142856362,0,02/01/2022 17:00:56,53563,21,task-ptdz,,18261394,BLIND,5410548,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.62,1123x632,1123x526,,Eye dominance,4,bothFirst,178,Right,178,Right,,,,,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone2,continue_button,1756.7999999523163,,,,,0,1,0,,,,,,video,
4,1641142857010,02/01/2022 17:00:57,1641142857176,0,02/01/2022 17:00:57,53563,21,task-ptdz,,18261394,BLIND,5410548,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.62,1123x632,1123x526,,Eye dominance,4,bothFirst,178,Right,178,Right,,,,,Spreadsheet1,Spreadsheet1,3,1,1,Screen 1,advancementZone,continue_button,797.2000000476837,,,,,0,1,0,,,,,,instructions,
5,1641142859182,02/01/2022 17:00:59,1641142859339,0,02/01/2022 17:00:59,53563,21,task-ptdz,,18261394,BLIND,5410548,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.62,1123x632,1123x526,,Eye dominance,4,bothFirst,178,Right,178,Right,,,,,Spreadsheet1,Spreadsheet1,4,1,1,Screen 1,buttonB,response_button_text,2117.7999999523163,,,Right,1,0,1,0,,,,,,response,
6,1641142859317,02/01/2022 17:00:59,1641142859347,0,02/01/2022 17:00:59,53563,21,task-ptdz,,18261394,BLIND,5410548,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.62,1123x632,1123x526,,Eye dominance,4,bothFirst,178,Right,178,Right,,,,,Spreadsheet1,,,END TASK,,,,,6083,,,,,0,1,0,,,,,,,
1,1641121677121,02/01/2022 11:07:57,1641121678388,0,02/01/2022 11:07:58,53563,21,task-ptdz,,18258958,BLIND,5409913,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.110,1366x768,1366x624,,Eye dominance,4,bothFirst,163,Right,163,Right,,,,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1641121684598,02/01/2022 11:08:04,1641121685801,0,02/01/2022 11:08:05,53563,21,task-ptdz,,18258958,BLIND,5409913,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.110,1366x768,1366x624,,Eye dominance,4,bothFirst,163,Right,163,Right,,,,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,7343.699999809265,,,,,0,1,0,,,,,,intro,
3,1641121722144,02/01/2022 11:08:42,1641121723039,0,02/01/2022 11:08:43,53563,21,task-ptdz,,18258958,BLIND,5409913,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.110,1366x768,1366x624,,Eye dominance,4,bothFirst,163,Right,163,Right,,,,,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone2,continue_button,37220.299999952316,,,,,0,1,0,,,,,,video,
4,1641121735648,02/01/2022 11:08:55,1641121735936,0,02/01/2022 11:08:55,53563,21,task-ptdz,,18258958,BLIND,5409913,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.110,1366x768,1366x624,,Eye dominance,4,bothFirst,163,Right,163,Right,,,,,Spreadsheet1,Spreadsheet1,3,1,1,Screen 1,advancementZone,continue_button,12882,,,,,0,1,0,,,,,,instructions,
5,1641121738191,02/01/2022 11:08:58,1641121739498,0,02/01/2022 11:08:59,53563,21,task-ptdz,,18258958,BLIND,5409913,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.110,1366x768,1366x624,,Eye dominance,4,bothFirst,163,Right,163,Right,,,,,Spreadsheet1,Spreadsheet1,4,1,1,Screen 1,buttonB,response_button_text,3546.100000143051,,,Right,1,0,1,0,,,,,,response,
6,1641121738253,02/01/2022 11:08:58,1641121739502,0,02/01/2022 11:08:59,53563,21,task-ptdz,,18258958,BLIND,5409913,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.110,1366x768,1366x624,,Eye dominance,4,bothFirst,163,Right,163,Right,,,,,Spreadsheet1,,,END TASK,,,,,61114,,,,,0,1,0,,,,,,,
1,1641050486727,01/01/2022 15:21:26,1641050486594,0,01/01/2022 15:21:26,53563,21,task-ptdz,,18255921,BLIND,5407126,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1280x800,1280x601,,Eye dominance,4,bothFirst,178,Right,178,Right,,,,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1641050488181,01/01/2022 15:21:28,1641050488096,0,01/01/2022 15:21:28,53563,21,task-ptdz,,18255921,BLIND,5407126,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1280x800,1280x601,,Eye dominance,4,bothFirst,178,Right,178,Right,,,,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,1449,,,,,0,1,0,,,,,,intro,
3,1641050536979,01/01/2022 15:22:16,1641050536917,0,01/01/2022 15:22:16,53563,21,task-ptdz,,18255921,BLIND,5407126,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1280x800,1280x601,,Eye dominance,4,bothFirst,178,Right,178,Right,,,,,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone2,continue_button,48804,,,,,0,1,0,,,,,,video,
4,1641050538936,01/01/2022 15:22:18,1641050538819,0,01/01/2022 15:22:18,53563,21,task-ptdz,,18255921,BLIND,5407126,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1280x800,1280x601,,Eye dominance,4,bothFirst,178,Right,178,Right,,,,,Spreadsheet1,Spreadsheet1,3,1,1,Screen 1,advancementZone,continue_button,1892,,,,,0,1,0,,,,,,instructions,
5,1641050541596,01/01/2022 15:22:21,1641050541511,0,01/01/2022 15:22:21,53563,21,task-ptdz,,18255921,BLIND,5407126,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1280x800,1280x601,,Eye dominance,4,bothFirst,178,Right,178,Right,,,,,Spreadsheet1,Spreadsheet1,4,1,1,Screen 1,buttonA,response_button_text,2656,,,Left,1,0,1,0,,,,,,response,
6,1641050541652,01/01/2022 15:22:21,1641050541514,0,01/01/2022 15:22:21,53563,21,task-ptdz,,18255921,BLIND,5407126,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1280x800,1280x601,,Eye dominance,4,bothFirst,178,Right,178,Right,,,,,Spreadsheet1,,,END TASK,,,,,54920,,,,,0,1,0,,,,,,,
1,1640816430945,29/12/2021 22:20:30,1640816430228,0,29/12/2021 22:20:30,53563,21,task-ptdz,,18241170,BLIND,5389739,,complete,,,computer,Desktop or Laptop,Chromium OS 14268.67.0,Chrome 96.0.4664.111,1536x864,1024x497,,Eye dominance,4,oneFirst,,,,,183,Right,183,Right,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1640816434184,29/12/2021 22:20:34,1640816433529,0,29/12/2021 22:20:33,53563,21,task-ptdz,,18241170,BLIND,5389739,,complete,,,computer,Desktop or Laptop,Chromium OS 14268.67.0,Chrome 96.0.4664.111,1536x864,1024x497,,Eye dominance,4,oneFirst,,,,,183,Right,183,Right,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,3192.0999999999767,,,,,0,1,0,,,,,,intro,
3,1640816488474,29/12/2021 22:21:28,1640816487814,0,29/12/2021 22:21:27,53563,21,task-ptdz,,18241170,BLIND,5389739,,complete,,,computer,Desktop or Laptop,Chromium OS 14268.67.0,Chrome 96.0.4664.111,1536x864,1024x497,,Eye dominance,4,oneFirst,,,,,183,Right,183,Right,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone2,continue_button,54255.20000000001,,,,,0,1,0,,,,,,video,
4,1640816507449,29/12/2021 22:21:47,1640816506772,0,29/12/2021 22:21:46,53563,21,task-ptdz,,18241170,BLIND,5389739,,complete,,,computer,Desktop or Laptop,Chromium OS 14268.67.0,Chrome 96.0.4664.111,1536x864,1024x497,,Eye dominance,4,oneFirst,,,,,183,Right,183,Right,Spreadsheet1,Spreadsheet1,3,1,1,Screen 1,advancementZone,continue_button,18942.29999999999,,,,,0,1,0,,,,,,instructions,
5,1640816511076,29/12/2021 22:21:51,1640816510432,0,29/12/2021 22:21:50,53563,21,task-ptdz,,18241170,BLIND,5389739,,complete,,,computer,Desktop or Laptop,Chromium OS 14268.67.0,Chrome 96.0.4664.111,1536x864,1024x497,,Eye dominance,4,oneFirst,,,,,183,Right,183,Right,Spreadsheet1,Spreadsheet1,4,1,1,Screen 1,buttonA,response_button_text,3644.2999999999884,,,Left,1,0,1,0,,,,,,response,
6,1640816511233,29/12/2021 22:21:51,1640816510435,0,29/12/2021 22:21:50,53563,21,task-ptdz,,18241170,BLIND,5389739,,complete,,,computer,Desktop or Laptop,Chromium OS 14268.67.0,Chrome 96.0.4664.111,1536x864,1024x497,,Eye dominance,4,oneFirst,,,,,183,Right,183,Right,Spreadsheet1,,,END TASK,,,,,80207,,,,,0,1,0,,,,,,,
1,1640795267251,29/12/2021 16:27:47,1640795266977,0,29/12/2021 16:27:46,53563,21,task-ptdz,,18238293,BLIND,5388619,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1001x717,,Eye dominance,4,bothFirst,163,Right,163,Right,,,,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1640795269373,29/12/2021 16:27:49,1640795269163,0,29/12/2021 16:27:49,53563,21,task-ptdz,,18238293,BLIND,5388619,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1006x717,,Eye dominance,4,bothFirst,163,Right,163,Right,,,,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,2112,,,,,0,1,0,,,,,,intro,
3,1640795300956,29/12/2021 16:28:20,1640795300770,0,29/12/2021 16:28:20,53563,21,task-ptdz,,18238293,BLIND,5388619,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1006x717,,Eye dominance,4,bothFirst,163,Right,163,Right,,,,,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone2,continue_button,31586,,,,,0,1,0,,,,,,video,
4,1640795304831,29/12/2021 16:28:24,1640795304599,0,29/12/2021 16:28:24,53563,21,task-ptdz,,18238293,BLIND,5388619,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1006x717,,Eye dominance,4,bothFirst,163,Right,163,Right,,,,,Spreadsheet1,Spreadsheet1,3,1,1,Screen 1,advancementZone,continue_button,3810,,,,,0,1,0,,,,,,instructions,
5,1640795306198,29/12/2021 16:28:26,1640795306075,0,29/12/2021 16:28:26,53563,21,task-ptdz,,18238293,BLIND,5388619,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1006x717,,Eye dominance,4,bothFirst,163,Right,163,Right,,,,,Spreadsheet1,Spreadsheet1,4,1,1,Screen 1,buttonA,response_button_text,1347,,,Left,1,0,1,0,,,,,,response,
6,1640795306270,29/12/2021 16:28:26,1640795306078,0,29/12/2021 16:28:26,53563,21,task-ptdz,,18238293,BLIND,5388619,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1006x717,,Eye dominance,4,bothFirst,163,Right,163,Right,,,,,Spreadsheet1,,,END TASK,,,,,39101,,,,,0,1,0,,,,,,,
1,1640781976139,29/12/2021 12:46:16,1640781975937,0,29/12/2021 12:46:15,53563,21,task-ptdz,,18235550,BLIND,5387474,,complete,,,computer,Desktop or Laptop,Chromium OS 14268.67.0,Chrome 96.0.4664.111,1536x864,1536x746,,Eye dominance,4,bothFirst,157,Right,157,Right,,,,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1640781980503,29/12/2021 12:46:20,1640781980372,0,29/12/2021 12:46:20,53563,21,task-ptdz,,18235550,BLIND,5387474,,complete,,,computer,Desktop or Laptop,Chromium OS 14268.67.0,Chrome 96.0.4664.111,1536x864,1536x746,,Eye dominance,4,bothFirst,157,Right,157,Right,,,,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,4338.299999998882,,,,,0,1,0,,,,,,intro,
3,1640782014979,29/12/2021 12:46:54,1640782014846,0,29/12/2021 12:46:54,53563,21,task-ptdz,,18235550,BLIND,5387474,,complete,,,computer,Desktop or Laptop,Chromium OS 14268.67.0,Chrome 96.0.4664.111,1536x864,1536x746,,Eye dominance,4,bothFirst,157,Right,157,Right,,,,,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone2,continue_button,34444.90000000037,,,,,0,1,0,,,,,,video,
4,1640782019447,29/12/2021 12:46:59,1640782019291,0,29/12/2021 12:46:59,53563,21,task-ptdz,,18235550,BLIND,5387474,,complete,,,computer,Desktop or Laptop,Chromium OS 14268.67.0,Chrome 96.0.4664.111,1536x864,1536x746,,Eye dominance,4,bothFirst,157,Right,157,Right,,,,,Spreadsheet1,Spreadsheet1,3,1,1,Screen 1,advancementZone,continue_button,4429.699999999255,,,,,0,1,0,,,,,,instructions,
5,1640782021685,29/12/2021 12:47:01,1640782021564,0,29/12/2021 12:47:01,53563,21,task-ptdz,,18235550,BLIND,5387474,,complete,,,computer,Desktop or Laptop,Chromium OS 14268.67.0,Chrome 96.0.4664.111,1536x864,1536x746,,Eye dominance,4,bothFirst,157,Right,157,Right,,,,,Spreadsheet1,Spreadsheet1,4,1,1,Screen 1,buttonA,response_button_text,2257.199999999255,,,Left,1,0,1,0,,,,,,response,
6,1640782021779,29/12/2021 12:47:01,1640782021568,0,29/12/2021 12:47:01,53563,21,task-ptdz,,18235550,BLIND,5387474,,complete,,,computer,Desktop or Laptop,Chromium OS 14268.67.0,Chrome 96.0.4664.111,1536x864,1536x746,,Eye dominance,4,bothFirst,157,Right,157,Right,,,,,Spreadsheet1,,,END TASK,,,,,45632,,,,,0,1,0,,,,,,,
