"","Participant.Private.ID","Eye.Condition","structure","meanRt","hand","size","xR","yR","xL","yL"
"146",4334401,"Mono","pos4Size2",1008.25,"right",10,74,74,26,74
"147",4334401,"Mono","pos4Size3",1166.19999992847,"right",5,74,74,26,74
"148",4334401,"Mono","pos5Size1",787.137500047683,"right",20,8,46,92,46
"149",4334401,"Mono","pos5Size2",714.337499976158,"right",10,8,46,92,46
"150",4334401,"Mono","pos5Size3",860.075000047684,"right",5,8,46,92,46
"151",4334877,"Binoc","pos1Size1",748.412499979138,"right",20,40,40,60,40
"152",4334877,"Binoc","pos1Size2",842.524999976158,"right",10,40,40,60,40
"153",4334877,"Binoc","pos1Size3",989.774999976158,"right",5,40,40,60,40
"154",4334877,"Binoc","pos2Size1",671.899999976158,"right",20,20,25,80,25
"155",4334877,"Binoc","pos2Size2",739.274999991059,"right",10,20,25,80,25
"156",4334877,"Binoc","pos2Size3",844.437500014901,"right",5,20,25,80,25
"157",4334877,"Binoc","pos3Size1",827.312500014901,"right",20,41,71,59,71
"158",4334877,"Binoc","pos3Size2",963.10000000894,"right",10,41,71,59,71
"159",4334877,"Binoc","pos3Size3",1120.02500000596,"right",5,41,71,59,71
"160",4334877,"Binoc","pos4Size1",923.124999985098,"right",20,74,74,26,74
"161",4334877,"Binoc","pos4Size2",1109.13749998808,"right",10,74,74,26,74
"162",4334877,"Binoc","pos4Size3",1061.0000000149,"right",5,74,74,26,74
"163",4334877,"Binoc","pos5Size1",759.45000000298,"right",20,8,46,92,46
"164",4334877,"Binoc","pos5Size2",801.29999999702,"right",10,8,46,92,46
"165",4334877,"Binoc","pos5Size3",989.76249998808,"right",5,8,46,92,46
"166",4334877,"Mono","pos1Size1",744.899999976158,"right",20,40,40,60,40
"167",4334877,"Mono","pos1Size2",830.47500000894,"right",10,40,40,60,40
"168",4334877,"Mono","pos1Size3",885.875000014901,"right",5,40,40,60,40
"169",4334877,"Mono","pos2Size1",650.837499976158,"right",20,20,25,80,25
"170",4334877,"Mono","pos2Size2",738.024999991059,"right",10,20,25,80,25
"171",4334877,"Mono","pos2Size3",761.88750000298,"right",5,20,25,80,25
"172",4334877,"Mono","pos3Size1",906.27500000596,"right",20,41,71,59,71
"173",4334877,"Mono","pos3Size2",948.26249998808,"right",10,41,71,59,71
"174",4334877,"Mono","pos3Size3",1053.33749999106,"right",5,41,71,59,71
"175",4334877,"Mono","pos4Size1",1003.84999997914,"right",20,74,74,26,74
"176",4334877,"Mono","pos4Size2",1151.78749999404,"right",10,74,74,26,74
"177",4334877,"Mono","pos4Size3",1129.3125,"right",5,74,74,26,74
"178",4334877,"Mono","pos5Size1",801.412500008941,"right",20,8,46,92,46
"179",4334877,"Mono","pos5Size2",868.050000011921,"right",10,8,46,92,46
"180",4334877,"Mono","pos5Size3",1094.61249999702,"right",5,8,46,92,46
"181",4336146,"Binoc","pos1Size1",743.649999999441,"right",20,40,40,60,40
"182",4336146,"Binoc","pos1Size2",903.324999999255,"right",10,40,40,60,40
"183",4336146,"Binoc","pos1Size3",863.174999998883,"right",5,40,40,60,40
"184",4336146,"Binoc","pos2Size1",701.112500000745,"right",20,20,25,80,25
"185",4336146,"Binoc","pos2Size2",681.674999999814,"right",10,20,25,80,25
"186",4336146,"Binoc","pos2Size3",781.224999999627,"right",5,20,25,80,25
"187",4336146,"Binoc","pos3Size1",773.100000002421,"right",20,41,71,59,71
"188",4336146,"Binoc","pos3Size2",825.949999999255,"right",10,41,71,59,71
"189",4336146,"Binoc","pos3Size3",1006.93749999907,"right",5,41,71,59,71
"190",4336146,"Binoc","pos4Size1",857.712499999441,"right",20,74,74,26,74
"191",4336146,"Binoc","pos4Size2",899.650000001304,"right",10,74,74,26,74
"192",4336146,"Binoc","pos4Size3",1167.88750000112,"right",5,74,74,26,74
"193",4336146,"Binoc","pos5Size1",824.325000000186,"right",20,8,46,92,46
"194",4336146,"Binoc","pos5Size2",1303.47500000056,"right",10,8,46,92,46
"195",4336146,"Binoc","pos5Size3",861.300000001676,"right",5,8,46,92,46
"196",4336146,"Mono","pos1Size1",720.349999999627,"right",20,40,40,60,40
"197",4336146,"Mono","pos1Size2",792.024999999441,"right",10,40,40,60,40
"198",4336146,"Mono","pos1Size3",1035.99999999907,"right",5,40,40,60,40
"199",4336146,"Mono","pos2Size1",1404.86249999888,"right",20,20,25,80,25
"200",4336146,"Mono","pos2Size2",709.737499999814,"right",10,20,25,80,25
"201",4336146,"Mono","pos2Size3",716.0625,"right",5,20,25,80,25
"202",4336146,"Mono","pos3Size1",746.3125,"right",20,41,71,59,71
"203",4336146,"Mono","pos3Size2",855.612499998883,"right",10,41,71,59,71
"204",4336146,"Mono","pos3Size3",917.549999999814,"right",5,41,71,59,71
"205",4336146,"Mono","pos4Size1",833.25,"right",20,74,74,26,74
"206",4336146,"Mono","pos4Size2",912.387499999255,"right",10,74,74,26,74
"207",4336146,"Mono","pos4Size3",1004.13749999926,"right",5,74,74,26,74
"208",4336146,"Mono","pos5Size1",646.099999999627,"right",20,8,46,92,46
"209",4336146,"Mono","pos5Size2",703.83749999851,"right",10,8,46,92,46
"210",4336146,"Mono","pos5Size3",845.375,"right",5,8,46,92,46
"211",4336342,"Binoc","pos1Size1",763.749999999995,"right",20,40,40,60,40
"212",4336342,"Binoc","pos1Size2",806.125000000004,"right",10,40,40,60,40
"213",4336342,"Binoc","pos1Size3",1167.25000000001,"right",5,40,40,60,40
"214",4336342,"Binoc","pos2Size1",659.624999999996,"right",20,20,25,80,25
"215",4336342,"Binoc","pos2Size2",870.499999999992,"right",10,20,25,80,25
"216",4336342,"Binoc","pos2Size3",866.499999999999,"right",5,20,25,80,25
"217",4336342,"Binoc","pos3Size1",757.5,"right",20,41,71,59,71
"218",4336342,"Binoc","pos3Size2",1014.625,"right",10,41,71,59,71
"219",4336342,"Binoc","pos3Size3",1030.25,"right",5,41,71,59,71
"220",4336342,"Binoc","pos4Size1",1180.375,"right",20,74,74,26,74
"221",4336342,"Binoc","pos4Size2",1171.75000000001,"right",10,74,74,26,74
"222",4336342,"Binoc","pos4Size3",1250.99999999999,"right",5,74,74,26,74
"223",4336342,"Binoc","pos5Size1",705.874999999998,"right",20,8,46,92,46
"224",4336342,"Binoc","pos5Size2",890.875,"right",10,8,46,92,46
"225",4336342,"Binoc","pos5Size3",965.249999999997,"right",5,8,46,92,46
"226",4336342,"Mono","pos1Size1",840.375,"right",20,40,40,60,40
