"","Participant.Private.ID","Eye.Condition","Task.Name","Spreadsheet","Trial.Number","structure","xR","yR","xL","yL","size","Reaction.Time"
"105",4336342,"Mono","Fitts's Law","right","7","pos2Size1",20,25,80,25,20,996.000000000029
"106",4336342,"Mono","Fitts's Law","right","8","pos2Size2",20,25,80,25,10,855
"107",4336342,"Mono","Fitts's Law","right","8","pos3Size3",41,71,59,71,5,1155.99999999997
"108",4336342,"Mono","Fitts's Law","right","8","pos3Size2",41,71,59,71,10,772.000000000029
"109",4336342,"Mono","Fitts's Law","right","8","pos4Size3",74,74,26,74,5,2312
"110",4336342,"Mono","Fitts's Law","right","8","pos3Size1",41,71,59,71,20,1004.99999999997
"111",4336342,"Mono","Fitts's Law","right","8","pos1Size1",40,40,60,40,20,885
"112",4336342,"Mono","Fitts's Law","right","8","pos2Size3",20,25,80,25,5,1213
"113",4336342,"Mono","Fitts's Law","right","8","pos4Size1",74,74,26,74,20,1350.00000000003
"114",4336342,"Mono","Fitts's Law","right","8","pos1Size3",40,40,60,40,5,1149.99999999997
"115",4336342,"Mono","Fitts's Law","right","8","pos4Size2",74,74,26,74,10,1606
"116",4336342,"Mono","Fitts's Law","right","8","pos5Size2",8,46,92,46,10,904
"117",4336342,"Mono","Fitts's Law","right","8","pos1Size2",40,40,60,40,10,925
"118",4336342,"Mono","Fitts's Law","right","8","pos5Size3",8,46,92,46,5,1022
"119",4336342,"Mono","Fitts's Law","right","8","pos5Size1",8,46,92,46,20,926.000000000058
"120",4336342,"Mono","Fitts's Law","right","8","pos2Size1",20,25,80,25,20,779
"121",4381159,"Mono","Fitts's Law","right","1","pos4Size2",74,74,26,74,10,1371.26499996521
"122",4381159,"Mono","Fitts's Law","right","1","pos1Size1",40,40,60,40,20,841.999999945983
"123",4381159,"Mono","Fitts's Law","right","1","pos3Size1",41,71,59,71,20,1128.75500007067
"124",4381159,"Mono","Fitts's Law","right","1","pos4Size1",74,74,26,74,20,1613.20999998134
"125",4381159,"Mono","Fitts's Law","right","1","pos1Size2",40,40,60,40,10,1156.41000005417
"126",4381159,"Mono","Fitts's Law","right","1","pos2Size3",20,25,80,25,5,836.939999950118
"127",4381159,"Mono","Fitts's Law","right","1","pos5Size2",8,46,92,46,10,871.410000021569
"128",4381159,"Mono","Fitts's Law","right","1","pos4Size3",74,74,26,74,5,1994.16499992367
"129",4381159,"Mono","Fitts's Law","right","1","pos3Size3",41,71,59,71,5,1113.54499997105
"130",4381159,"Mono","Fitts's Law","right","1","pos5Size3",8,46,92,46,5,1115.90999993496
"131",4381159,"Mono","Fitts's Law","right","1","pos2Size1",20,25,80,25,20,773.319999920204
"132",4381159,"Mono","Fitts's Law","right","1","pos2Size2",20,25,80,25,10,708.459999994375
"133",4381159,"Mono","Fitts's Law","right","1","pos5Size1",8,46,92,46,20,991.25500000082
"134",4381159,"Mono","Fitts's Law","right","1","pos3Size2",41,71,59,71,10,1224.43000006024
"135",4381159,"Mono","Fitts's Law","right","1","pos1Size3",40,40,60,40,5,952.930000028573
"136",4381159,"Mono","Fitts's Law","right","2","pos4Size2",74,74,26,74,10,1193.20500001777
"137",4381159,"Mono","Fitts's Law","right","2","pos4Size1",74,74,26,74,20,1023.36500003003
