Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qd1r,branch-4d91,branch-6e1m,branch-6mdr,branch-751i,branch-lwwt,branch-7gxz,branch-bbdp,branch-qi5c,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,structure,displayR,xR,yR,xL,yL,size,displayL
113,1640817961754,29/12/2021 22:46:01,1640817961121,0,29/12/2021 22:46:01,53563,21,task-osyu,,18241287,BLIND,5389739,,complete,,,computer,Desktop or Laptop,Chromium OS 14268.67.0,Chrome 96.0.4664.111,1536x864,1024x497,,Fitts's Law,8,oneFirst,,,,,183,Right,183,Right,right,right,57,4,1,noTarget,Zone1,response_button_image,1602,,,orangeSquare.png,1,0,1,0,,,,,4,pos1Size3R,,pos1Size3,,40,40,60,40,5,pos1Size3L
114,1640817962988,29/12/2021 22:46:02,1640817962338,0,29/12/2021 22:46:02,53563,21,task-osyu,,18241287,BLIND,5389739,,complete,,,computer,Desktop or Laptop,Chromium OS 14268.67.0,Chrome 96.0.4664.111,1536x864,1024x497,,Fitts's Law,8,oneFirst,,,,,183,Right,183,Right,right,right,57,4,2,target,Zone2,response_button_image,1209.6999999999534,,,redSquare.png,1,0,1,0,,,,,4,pos1Size3R,,pos1Size3,,40,40,60,40,5,pos1Size3L
115,1640817964803,29/12/2021 22:46:04,1640817964147,0,29/12/2021 22:46:04,53563,21,task-osyu,,18241287,BLIND,5389739,,complete,,,computer,Desktop or Laptop,Chromium OS 14268.67.0,Chrome 96.0.4664.111,1536x864,1024x497,,Fitts's Law,8,oneFirst,,,,,183,Right,183,Right,right,right,55,4,1,noTarget,Zone1,response_button_image,1789.7999999998137,,,orangeSquare.png,1,0,1,0,,,,,4,pos4Size2R,,pos4Size2,,74,74,26,74,10,pos4Size2L
116,1640817966120,29/12/2021 22:46:06,1640817965482,0,29/12/2021 22:46:05,53563,21,task-osyu,,18241287,BLIND,5389739,,complete,,,computer,Desktop or Laptop,Chromium OS 14268.67.0,Chrome 96.0.4664.111,1536x864,1024x497,,Fitts's Law,8,oneFirst,,,,,183,Right,183,Right,right,right,55,4,2,target,Zone2,response_button_image,1325.8000000000466,,,redSquare.png,1,0,1,0,,,,,4,pos4Size2R,,pos4Size2,,74,74,26,74,10,pos4Size2L
117,1640817967402,29/12/2021 22:46:07,1640817966759,0,29/12/2021 22:46:06,53563,21,task-osyu,,18241287,BLIND,5389739,,complete,,,computer,Desktop or Laptop,Chromium OS 14268.67.0,Chrome 96.0.4664.111,1536x864,1024x497,,Fitts's Law,8,oneFirst,,,,,183,Right,183,Right,right,right,53,4,1,noTarget,Zone1,response_button_image,1261,,,orangeSquare.png,1,0,1,0,,,,,4,pos2Size2R,,pos2Size2,,20,25,80,25,10,pos2Size2L
118,1640817968396,29/12/2021 22:46:08,1640817967755,0,29/12/2021 22:46:07,53563,21,task-osyu,,18241287,BLIND,5389739,,complete,,,computer,Desktop or Laptop,Chromium OS 14268.67.0,Chrome 96.0.4664.111,1536x864,1024x497,,Fitts's Law,8,oneFirst,,,,,183,Right,183,Right,right,right,53,4,2,target,Zone2,response_button_image,986.9000000001397,,,redSquare.png,1,0,1,0,,,,,4,pos2Size2R,,pos2Size2,,20,25,80,25,10,pos2Size2L
119,1640817969770,29/12/2021 22:46:09,1640817969120,0,29/12/2021 22:46:09,53563,21,task-osyu,,18241287,BLIND,5389739,,complete,,,computer,Desktop or Laptop,Chromium OS 14268.67.0,Chrome 96.0.4664.111,1536x864,1024x497,,Fitts's Law,8,oneFirst,,,,,183,Right,183,Right,right,right,56,4,1,noTarget,Zone1,response_button_image,1345.8000000000466,,,orangeSquare.png,1,0,1,0,,,,,4,pos5Size2R,,pos5Size2,,8,46,92,46,10,pos5Size2L
120,1640817971262,29/12/2021 22:46:11,1640817970619,0,29/12/2021 22:46:10,53563,21,task-osyu,,18241287,BLIND,5389739,,complete,,,computer,Desktop or Laptop,Chromium OS 14268.67.0,Chrome 96.0.4664.111,1536x864,1024x497,,Fitts's Law,8,oneFirst,,,,,183,Right,183,Right,right,right,56,4,2,target,Zone2,response_button_image,1484.1999999999534,,,redSquare.png,1,0,1,0,,,,,4,pos5Size2R,,pos5Size2,,8,46,92,46,10,pos5Size2L
121,1640817973385,29/12/2021 22:46:13,1640817972740,0,29/12/2021 22:46:12,53563,21,task-osyu,,18241287,BLIND,5389739,,complete,,,computer,Desktop or Laptop,Chromium OS 14268.67.0,Chrome 96.0.4664.111,1536x864,1024x497,,Fitts's Law,8,oneFirst,,,,,183,Right,183,Right,right,right,60,4,1,noTarget,Zone1,response_button_image,2102.8000000000466,,,orangeSquare.png,1,0,1,0,,,,,4,pos4Size3R,,pos4Size3,,74,74,26,74,5,pos4Size3L
122,1640817976323,29/12/2021 22:46:16,1640817975683,0,29/12/2021 22:46:15,53563,21,task-osyu,,18241287,BLIND,5389739,,complete,,,computer,Desktop or Laptop,Chromium OS 14268.67.0,Chrome 96.0.4664.111,1536x864,1024x497,,Fitts's Law,8,oneFirst,,,,,183,Right,183,Right,right,right,60,4,2,target,Zone2,response_button_image,2933.1999999999534,,,redSquare.png,1,0,1,0,,,,,4,pos4Size3R,,pos4Size3,,74,74,26,74,5,pos4Size3L
123,1640817978282,29/12/2021 22:46:18,1640817977633,0,29/12/2021 22:46:17,53563,21,task-osyu,,18241287,BLIND,5389739,,complete,,,computer,Desktop or Laptop,Chromium OS 14268.67.0,Chrome 96.0.4664.111,1536x864,1024x497,,Fitts's Law,8,oneFirst,,,,,183,Right,183,Right,right,right,62,1,1,Screen 1,advancementZone,continue_button,1918.5999999998603,,,,,0,1,0,,,,,,break,,,,,,,,,
124,1640817979787,29/12/2021 22:46:19,1640817979141,0,29/12/2021 22:46:19,53563,21,task-osyu,,18241287,BLIND,5389739,,complete,,,computer,Desktop or Laptop,Chromium OS 14268.67.0,Chrome 96.0.4664.111,1536x864,1024x497,,Fitts's Law,8,oneFirst,,,,,183,Right,183,Right,right,right,77,5,1,noTarget,Zone1,response_button_image,1492.4000000001397,,,orangeSquare.png,1,0,1,0,,,,,5,pos5Size3R,,pos5Size3,,8,46,92,46,5,pos5Size3L
125,1640817981228,29/12/2021 22:46:21,1640817980588,0,29/12/2021 22:46:20,53563,21,task-osyu,,18241287,BLIND,5389739,,complete,,,computer,Desktop or Laptop,Chromium OS 14268.67.0,Chrome 96.0.4664.111,1536x864,1024x497,,Fitts's Law,8,oneFirst,,,,,183,Right,183,Right,right,right,77,5,2,target,Zone2,response_button_image,1437.6999999999534,,,redSquare.png,1,0,1,0,,,,,5,pos5Size3R,,pos5Size3,,8,46,92,46,5,pos5Size3L
126,1640817982727,29/12/2021 22:46:22,1640817982067,0,29/12/2021 22:46:22,53563,21,task-osyu,,18241287,BLIND,5389739,,complete,,,computer,Desktop or Laptop,Chromium OS 14268.67.0,Chrome 96.0.4664.111,1536x864,1024x497,,Fitts's Law,8,oneFirst,,,,,183,Right,183,Right,right,right,67,5,1,noTarget,Zone1,response_button_image,1466.1000000000931,,,orangeSquare.png,1,0,1,0,,,,,5,pos5Size1R,,pos5Size1,,8,46,92,46,20,pos5Size1L
127,1640817983935,29/12/2021 22:46:23,1640817983211,0,29/12/2021 22:46:23,53563,21,task-osyu,,18241287,BLIND,5389739,,complete,,,computer,Desktop or Laptop,Chromium OS 14268.67.0,Chrome 96.0.4664.111,1536x864,1024x497,,Fitts's Law,8,oneFirst,,,,,183,Right,183,Right,right,right,67,5,2,target,Zone2,response_button_image,1133.8000000000466,,,redSquare.png,1,0,1,0,,,,,5,pos5Size1R,,pos5Size1,,8,46,92,46,20,pos5Size1L
128,1640817984890,29/12/2021 22:46:24,1640817984246,0,29/12/2021 22:46:24,53563,21,task-osyu,,18241287,BLIND,5389739,,complete,,,computer,Desktop or Laptop,Chromium OS 14268.67.0,Chrome 96.0.4664.111,1536x864,1024x497,,Fitts's Law,8,oneFirst,,,,,183,Right,183,Right,right,right,64,5,1,noTarget,Zone1,response_button_image,1019,,,orangeSquare.png,1,0,1,0,,,,,5,pos2Size1R,,pos2Size1,,20,25,80,25,20,pos2Size1L
129,1640817985768,29/12/2021 22:46:25,1640817985110,0,29/12/2021 22:46:25,53563,21,task-osyu,,18241287,BLIND,5389739,,complete,,,computer,Desktop or Laptop,Chromium OS 14268.67.0,Chrome 96.0.4664.111,1536x864,1024x497,,Fitts's Law,8,oneFirst,,,,,183,Right,183,Right,right,right,64,5,2,target,Zone2,response_button_image,854.8000000000466,,,redSquare.png,1,0,1,0,,,,,5,pos2Size1R,,pos2Size1,,20,25,80,25,20,pos2Size1L
130,1640817987019,29/12/2021 22:46:27,1640817986380,0,29/12/2021 22:46:26,53563,21,task-osyu,,18241287,BLIND,5389739,,complete,,,computer,Desktop or Laptop,Chromium OS 14268.67.0,Chrome 96.0.4664.111,1536x864,1024x497,,Fitts's Law,8,oneFirst,,,,,183,Right,183,Right,right,right,68,5,1,noTarget,Zone1,response_button_image,1256,,,orangeSquare.png,1,0,1,0,,,,,5,pos1Size2R,,pos1Size2,,40,40,60,40,10,pos1Size2L
131,1640817988944,29/12/2021 22:46:28,1640817988307,0,29/12/2021 22:46:28,53563,21,task-osyu,,18241287,BLIND,5389739,,complete,,,computer,Desktop or Laptop,Chromium OS 14268.67.0,Chrome 96.0.4664.111,1536x864,1024x497,,Fitts's Law,8,oneFirst,,,,,183,Right,183,Right,right,right,68,5,2,target,Zone2,response_button_image,1917.6999999999534,,,redSquare.png,1,0,1,0,,,,,5,pos1Size2R,,pos1Size2,,40,40,60,40,10,pos1Size2L
132,1640817989984,29/12/2021 22:46:29,1640817989344,0,29/12/2021 22:46:29,53563,21,task-osyu,,18241287,BLIND,5389739,,complete,,,computer,Desktop or Laptop,Chromium OS 14268.67.0,Chrome 96.0.4664.111,1536x864,1024x497,,Fitts's Law,8,oneFirst,,,,,183,Right,183,Right,right,right,70,5,1,noTarget,Zone1,response_button_image,1022,,,orangeSquare.png,1,0,1,0,,,,,5,pos3Size2R,,pos3Size2,,41,71,59,71,10,pos3Size2L
133,1640817991639,29/12/2021 22:46:31,1640817990980,0,29/12/2021 22:46:30,53563,21,task-osyu,,18241287,BLIND,5389739,,complete,,,computer,Desktop or Laptop,Chromium OS 14268.67.0,Chrome 96.0.4664.111,1536x864,1024x497,,Fitts's Law,8,oneFirst,,,,,183,Right,183,Right,right,right,70,5,2,target,Zone2,response_button_image,1628.1000000000931,,,redSquare.png,1,0,1,0,,,,,5,pos3Size2R,,pos3Size2,,41,71,59,71,10,pos3Size2L
134,1640817992705,29/12/2021 22:46:32,1640817992055,0,29/12/2021 22:46:32,53563,21,task-osyu,,18241287,BLIND,5389739,,complete,,,computer,Desktop or Laptop,Chromium OS 14268.67.0,Chrome 96.0.4664.111,1536x864,1024x497,,Fitts's Law,8,oneFirst,,,,,183,Right,183,Right,right,right,63,5,1,noTarget,Zone1,response_button_image,1059.4000000001397,,,orangeSquare.png,1,0,1,0,,,,,5,pos1Size1R,,pos1Size1,,40,40,60,40,20,pos1Size1L
135,1640817993517,29/12/2021 22:46:33,1640817992870,0,29/12/2021 22:46:32,53563,21,task-osyu,,18241287,BLIND,5389739,,complete,,,computer,Desktop or Laptop,Chromium OS 14268.67.0,Chrome 96.0.4664.111,1536x864,1024x497,,Fitts's Law,8,oneFirst,,,,,183,Right,183,Right,right,right,63,5,2,target,Zone2,response_button_image,806.0999999998603,,,redSquare.png,1,0,1,0,,,,,5,pos1Size1R,,pos1Size1,,40,40,60,40,20,pos1Size1L
136,1640817994901,29/12/2021 22:46:34,1640817994257,0,29/12/2021 22:46:34,53563,21,task-osyu,,18241287,BLIND,5389739,,complete,,,computer,Desktop or Laptop,Chromium OS 14268.67.0,Chrome 96.0.4664.111,1536x864,1024x497,,Fitts's Law,8,oneFirst,,,,,183,Right,183,Right,right,right,76,5,1,noTarget,Zone1,response_button_image,1371.5,,,orangeSquare.png,1,0,1,0,,,,,5,pos4Size3R,,pos4Size3,,74,74,26,74,5,pos4Size3L
137,1640817995977,29/12/2021 22:46:35,1640817995312,0,29/12/2021 22:46:35,53563,21,task-osyu,,18241287,BLIND,5389739,,complete,,,computer,Desktop or Laptop,Chromium OS 14268.67.0,Chrome 96.0.4664.111,1536x864,1024x497,,Fitts's Law,8,oneFirst,,,,,183,Right,183,Right,right,right,76,5,2,target,Zone2,response_button_image,1046.5,,,redSquare.png,1,0,1,0,,,,,5,pos4Size3R,,pos4Size3,,74,74,26,74,5,pos4Size3L
