Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qd1r,branch-4d91,branch-6e1m,branch-6mdr,branch-751i,branch-lwwt,branch-7gxz,branch-bbdp,branch-qi5c,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,structure,displayR,xR,yR,xL,yL,size,displayL
130,1628456976507,08/08/2021 21:09:36,1628456974173,1,08/08/2021 22:09:34,53563,19,task-p5uw,,14960733,603eratv,4450899,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1280x720,1280x720,,Fitts's Law,8,bothFirst,178,Right,178,Right,,,,,right,right,72,5,1,noTarget,Zone1,response_button_image,1811.2000000476837,,,orangeSquare.png,1,0,1,0,,,,,5,pos5Size2R,,pos5Size2,,8,46,92,46,10,pos5Size2L
131,1628456977890,08/08/2021 21:09:37,1628456975541,1,08/08/2021 22:09:35,53563,19,task-p5uw,,14960733,603eratv,4450899,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1280x720,1280x720,,Fitts's Law,8,bothFirst,178,Right,178,Right,,,,,right,right,72,5,2,target,Zone2,response_button_image,1361.5,,,redSquare.png,1,0,1,0,,,,,5,pos5Size2R,,pos5Size2,,8,46,92,46,10,pos5Size2L
132,1628456979920,08/08/2021 21:09:39,1628456977586,1,08/08/2021 22:09:37,53563,19,task-p5uw,,14960733,603eratv,4450899,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1280x720,1280x720,,Fitts's Law,8,bothFirst,178,Right,178,Right,,,,,right,right,66,5,1,noTarget,Zone1,response_button_image,2035.9000000953674,,,orangeSquare.png,1,0,1,0,,,,,5,pos4Size1R,,pos4Size1,,74,74,26,74,20,pos4Size1L
133,1628456981199,08/08/2021 21:09:41,1628456978851,1,08/08/2021 22:09:38,53563,19,task-p5uw,,14960733,603eratv,4450899,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1280x720,1280x720,,Fitts's Law,8,bothFirst,178,Right,178,Right,,,,,right,right,66,5,2,target,Zone2,response_button_image,1258.2000000476837,,,redSquare.png,1,0,1,0,,,,,5,pos4Size1R,,pos4Size1,,74,74,26,74,20,pos4Size1L
134,1628456982190,08/08/2021 21:09:42,1628456979851,1,08/08/2021 22:09:39,53563,19,task-p5uw,,14960733,603eratv,4450899,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1280x720,1280x720,,Fitts's Law,8,bothFirst,178,Right,178,Right,,,,,right,right,75,5,1,noTarget,Zone1,response_button_image,991.3999998569489,,,orangeSquare.png,1,0,1,0,,,,,5,pos3Size3R,,pos3Size3,,41,71,59,71,5,pos3Size3L
135,1628456983600,08/08/2021 21:09:43,1628456981252,1,08/08/2021 22:09:41,53563,19,task-p5uw,,14960733,603eratv,4450899,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1280x720,1280x720,,Fitts's Law,8,bothFirst,178,Right,178,Right,,,,,right,right,75,5,2,target,Zone2,response_button_image,1395.1000001430511,,,redSquare.png,1,0,1,0,,,,,5,pos3Size3R,,pos3Size3,,41,71,59,71,5,pos3Size3L
136,1628456984861,08/08/2021 21:09:44,1628456982530,1,08/08/2021 22:09:42,53563,19,task-p5uw,,14960733,603eratv,4450899,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1280x720,1280x720,,Fitts's Law,8,bothFirst,178,Right,178,Right,,,,,right,right,64,5,1,noTarget,Zone1,response_button_image,1268.5,,,orangeSquare.png,1,0,1,0,,,,,5,pos2Size1R,,pos2Size1,,20,25,80,25,20,pos2Size1L
137,1628456985719,08/08/2021 21:09:45,1628456983390,1,08/08/2021 22:09:43,53563,19,task-p5uw,,14960733,603eratv,4450899,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1280x720,1280x720,,Fitts's Law,8,bothFirst,178,Right,178,Right,,,,,right,right,64,5,2,target,Zone2,response_button_image,854.5,,,redSquare.png,1,0,1,0,,,,,5,pos2Size1R,,pos2Size1,,20,25,80,25,20,pos2Size1L
138,1628456986745,08/08/2021 21:09:46,1628456984405,1,08/08/2021 22:09:44,53563,19,task-p5uw,,14960733,603eratv,4450899,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1280x720,1280x720,,Fitts's Law,8,bothFirst,178,Right,178,Right,,,,,right,right,68,5,1,noTarget,Zone1,response_button_image,1007.2000000476837,,,orangeSquare.png,1,0,1,0,,,,,5,pos1Size2R,,pos1Size2,,40,40,60,40,10,pos1Size2L
139,1628456988230,08/08/2021 21:09:48,1628456985867,1,08/08/2021 22:09:45,53563,19,task-p5uw,,14960733,603eratv,4450899,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1280x720,1280x720,,Fitts's Law,8,bothFirst,178,Right,178,Right,,,,,right,right,68,5,2,target,Zone2,response_button_image,1455.5999999046326,,,redSquare.png,1,0,1,0,,,,,5,pos1Size2R,,pos1Size2,,40,40,60,40,10,pos1Size2L
140,1628456991834,08/08/2021 21:09:51,1628456987581,1,08/08/2021 22:09:47,53563,19,task-p5uw,,14960733,603eratv,4450899,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1280x720,1280x720,,Fitts's Law,8,bothFirst,178,Right,178,Right,,,,,right,right,65,5,1,noTarget,Zone1,response_button_image,1696.7000000476837,,,orangeSquare.png,1,0,1,0,,,,,5,pos3Size1R,,pos3Size1,,41,71,59,71,20,pos3Size1L
