Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qd1r,branch-4d91,branch-6e1m,branch-6mdr,branch-751i,branch-lwwt,branch-7gxz,branch-bbdp,branch-qi5c,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,structure,displayR,xR,yR,xL,yL,size,displayL
206,1638277961221,30/11/2021 13:12:41,1638277961187,0,30/11/2021 13:12:41,53563,21,task-hg5t,,17587951,BLIND,5193241,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x854,1232x743,,Fitts's Law,8,oneFirst,,,,,178,Right,178,Right,right,right,105,7,1,noTarget,Zone1,response_button_image,948.2000000476837,,,orangeSquare.png,1,0,1,0,,,,,7,pos3Size3R,,pos3Size3,,41,71,59,71,5,pos3Size3L
207,1638277962492,30/11/2021 13:12:42,1638277962395,0,30/11/2021 13:12:42,53563,21,task-hg5t,,17587951,BLIND,5193241,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x854,1232x743,,Fitts's Law,8,oneFirst,,,,,178,Right,178,Right,right,right,105,7,2,target,Zone2,response_button_image,1202.6000000238419,,,redSquare.png,1,0,1,0,,,,,7,pos3Size3R,,pos3Size3,,41,71,59,71,5,pos3Size3L
208,1638277964023,30/11/2021 13:12:44,1638277963994,0,30/11/2021 13:12:43,53563,21,task-hg5t,,17587951,BLIND,5193241,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x854,1232x743,,Fitts's Law,8,oneFirst,,,,,178,Right,178,Right,right,right,102,7,1,noTarget,Zone1,response_button_image,1586.2000000476837,,,orangeSquare.png,1,0,1,0,,,,,7,pos5Size2R,,pos5Size2,,8,46,92,46,10,pos5Size2L
209,1638277965022,30/11/2021 13:12:45,1638277964989,0,30/11/2021 13:12:44,53563,21,task-hg5t,,17587951,BLIND,5193241,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x854,1232x743,,Fitts's Law,8,oneFirst,,,,,178,Right,178,Right,right,right,102,7,2,target,Zone2,response_button_image,983.8000000715256,,,redSquare.png,1,0,1,0,,,,,7,pos5Size2R,,pos5Size2,,8,46,92,46,10,pos5Size2L
210,1638277965952,30/11/2021 13:12:45,1638277965913,0,30/11/2021 13:12:45,53563,21,task-hg5t,,17587951,BLIND,5193241,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x854,1232x743,,Fitts's Law,8,oneFirst,,,,,178,Right,178,Right,right,right,95,7,1,noTarget,Zone1,response_button_image,916.5,,,orangeSquare.png,1,0,1,0,,,,,7,pos3Size1R,,pos3Size1,,41,71,59,71,20,pos3Size1L
211,1638277966733,30/11/2021 13:12:46,1638277966701,0,30/11/2021 13:12:46,53563,21,task-hg5t,,17587951,BLIND,5193241,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x854,1232x743,,Fitts's Law,8,oneFirst,,,,,178,Right,178,Right,right,right,95,7,2,target,Zone2,response_button_image,777.8999999761581,,,redSquare.png,1,0,1,0,,,,,7,pos3Size1R,,pos3Size1,,41,71,59,71,20,pos3Size1L
212,1638277967686,30/11/2021 13:12:47,1638277967669,0,30/11/2021 13:12:47,53563,21,task-hg5t,,17587951,BLIND,5193241,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x854,1232x743,,Fitts's Law,8,oneFirst,,,,,178,Right,178,Right,right,right,94,7,1,noTarget,Zone1,response_button_image,951.7999999523163,,,orangeSquare.png,1,0,1,0,,,,,7,pos2Size1R,,pos2Size1,,20,25,80,25,20,pos2Size1L
213,1638277968631,30/11/2021 13:12:48,1638277968585,0,30/11/2021 13:12:48,53563,21,task-hg5t,,17587951,BLIND,5193241,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x854,1232x743,,Fitts's Law,8,oneFirst,,,,,178,Right,178,Right,right,right,94,7,2,target,Zone2,response_button_image,907.3000000715256,,,redSquare.png,1,0,1,0,,,,,7,pos2Size1R,,pos2Size1,,20,25,80,25,20,pos2Size1L
214,1638277970037,30/11/2021 13:12:50,1638277969738,0,30/11/2021 13:12:49,53563,21,task-hg5t,,17587951,BLIND,5193241,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x854,1232x743,,Fitts's Law,8,oneFirst,,,,,178,Right,178,Right,right,right,118,8,1,noTarget,Zone1,response_button_image,1139.2999999523163,,,orangeSquare.png,1,0,1,0,,,,,8,pos1Size3R,,pos1Size3,,40,40,60,40,5,pos1Size3L
215,1638277971191,30/11/2021 13:12:51,1638277970871,0,30/11/2021 13:12:50,53563,21,task-hg5t,,17587951,BLIND,5193241,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x854,1232x743,,Fitts's Law,8,oneFirst,,,,,178,Right,178,Right,right,right,118,8,2,target,Zone2,response_button_image,1120.4000000953674,,,redSquare.png,1,0,1,0,,,,,8,pos1Size3R,,pos1Size3,,40,40,60,40,5,pos1Size3L
216,1638277971910,30/11/2021 13:12:51,1638277971883,0,30/11/2021 13:12:51,53563,21,task-hg5t,,17587951,BLIND,5193241,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x854,1232x743,,Fitts's Law,8,oneFirst,,,,,178,Right,178,Right,right,right,113,8,1,noTarget,Zone1,response_button_image,993.6000000238419,,,orangeSquare.png,1,0,1,0,,,,,8,pos1Size2R,,pos1Size2,,40,40,60,40,10,pos1Size2L
217,1638277973366,30/11/2021 13:12:53,1638277973317,0,30/11/2021 13:12:53,53563,21,task-hg5t,,17587951,BLIND,5193241,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x854,1232x743,,Fitts's Law,8,oneFirst,,,,,178,Right,178,Right,right,right,113,8,2,target,Zone2,response_button_image,1427.8999999761581,,,redSquare.png,1,0,1,0,,,,,8,pos1Size2R,,pos1Size2,,40,40,60,40,10,pos1Size2L
218,1638277974504,30/11/2021 13:12:54,1638277974344,0,30/11/2021 13:12:54,53563,21,task-hg5t,,17587951,BLIND,5193241,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x854,1232x743,,Fitts's Law,8,oneFirst,,,,,178,Right,178,Right,right,right,110,8,1,noTarget,Zone1,response_button_image,1011.2000000476837,,,orangeSquare.png,1,0,1,0,,,,,8,pos3Size1R,,pos3Size1,,41,71,59,71,20,pos3Size1L
219,1638277975428,30/11/2021 13:12:55,1638277975386,0,30/11/2021 13:12:55,53563,21,task-hg5t,,17587951,BLIND,5193241,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x854,1232x743,,Fitts's Law,8,oneFirst,,,,,178,Right,178,Right,right,right,110,8,2,target,Zone2,response_button_image,1033.8999999761581,,,redSquare.png,1,0,1,0,,,,,8,pos3Size1R,,pos3Size1,,41,71,59,71,20,pos3Size1L
220,1638277976606,30/11/2021 13:12:56,1638277976571,0,30/11/2021 13:12:56,53563,21,task-hg5t,,17587951,BLIND,5193241,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x854,1232x743,,Fitts's Law,8,oneFirst,,,,,178,Right,178,Right,right,right,116,8,1,noTarget,Zone1,response_button_image,1168.3999999761581,,,orangeSquare.png,1,0,1,0,,,,,8,pos4Size2R,,pos4Size2,,74,74,26,74,10,pos4Size2L
221,1638277977950,30/11/2021 13:12:57,1638277977928,0,30/11/2021 13:12:57,53563,21,task-hg5t,,17587951,BLIND,5193241,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x854,1232x743,,Fitts's Law,8,oneFirst,,,,,178,Right,178,Right,right,right,116,8,2,target,Zone2,response_button_image,1344.8999999761581,,,redSquare.png,1,0,1,0,,,,,8,pos4Size2R,,pos4Size2,,74,74,26,74,10,pos4Size2L
