"","X1","Participant.Private.ID","Eye.Condition","Trial.Number","Attempt","Reaction.Time","X.Coordinate","Y.Coordinate","VS_Puzzle","Correct"
"105",329,4332728,"Mono",4,1,2815,154,213,"Image2.PNG",1
"106",341,4333147,"Binoc",4,1,7641.79999995232,164,208,"Image2.PNG",1
"107",349,4333590,"Binoc",3,1,13600.5,170,207,"Image2.PNG",1
"108",361,4334401,"Binoc",4,1,8543.5,152,196,"Image2.PNG",0
"109",374,4336342,"Binoc",4,1,12610,159,215,"Image2.PNG",1
"110",385,4339358,"Binoc",3,1,9319.5,166,213,"Image2.PNG",1
"111",393,4373538,"Binoc",1,1,5370.10000002384,144,208,"Image2.PNG",1
"112",405,4381159,"Binoc",2,1,23881.5300000133,161,213,"Image2.PNG",1
"113",416,4384320,"Binoc",3,1,5984.80000007153,172,219,"Image2.PNG",1
"114",426,4404605,"Binoc",2,1,11760,156,209,"Image2.PNG",1
"115",437,4424285,"Binoc",1,1,22416.400000006,153,216,"Image2.PNG",1
"116",452,4443776,"Binoc",4,1,2375.09999990463,162,208,"Image2.PNG",1
"117",462,4448050,"Binoc",3,1,17271,148,212,"Image2.PNG",1
"118",473,4449137,"Binoc",4,1,7278.30000019073,168,208,"Image2.PNG",1
"119",483,4449574,"Binoc",4,1,4766.59999990463,170,214,"Image2.PNG",1
"120",493,4449717,"Binoc",3,1,11264.5,163,213,"Image2.PNG",1
"121",499,4450348,"Binoc",1,1,6895.79999995232,162,210,"Image2.PNG",1
"122",512,4452039,"Binoc",2,1,23196.1000000001,167,207,"Image2.PNG",1
"123",521,4454520,"Binoc",1,1,23458,173,212.746478873239,"Image2.PNG",1
"124",531,4332728,"Binoc",2,1,3888,166,213,"Image2.PNG",1
"125",542,4336146,"Binoc",2,1,6764.70000000298,167,215,"Image2.PNG",1
"126",556,4372219,"Binoc",4,1,2956.39999999851,154,210,"Image2.PNG",1
"127",566,4379880,"Binoc",4,1,12131,151,188,"Image2.PNG",0
"128",575,4392148,"Binoc",3,1,7315.69999998808,159,210,"Image2.PNG",1
"129",587,4445309,"Binoc",3,1,6731.30000007153,163,208,"Image2.PNG",1
"130",594,4447985,"Binoc",1,1,2868.29999995232,154,213,"Image2.PNG",1
"131",601,4449101,"Binoc",1,1,19479,177.275700934579,208.269230769231,"Image2.PNG",1
"132",610,4449369,"Binoc",3,1,20617.5999999046,163,215,"Image2.PNG",1
"133",618,4449420,"Binoc",2,1,20553.5,168.261682242991,207.728873239437,"Image2.PNG",1
"134",627,4452506,"Binoc",4,1,17207,159,213,"Image2.PNG",1
"135",630,4450899,"Binoc",1,1,31626.3999998569,156,203,"Image2.PNG",1
"136",644,4429865,"Binoc",3,1,5120.7300000824,159,214,"Image2.PNG",1
"137",654,4408537,"Binoc",1,1,7769,168,214,"Image2.PNG",1
"138",665,4354253,"Binoc",2,1,3034,153,211,"Image2.PNG",1
"139",677,4334877,"Binoc",4,1,5390.40000009537,160,208,"Image2.PNG",1
"140",686,4333569,"Binoc",1,1,9966,165,215,"Image2.PNG",1
"141",4,4333590,"Mono",4,1,2848.60000000009,613,248,"Image3.PNG",1
"142",14,4334401,"Mono",3,1,4655.89999961853,609,251,"Image3.PNG",1
"143",22,4339358,"Mono",3,1,3042.59999996424,609,245,"Image3.PNG",1
"144",32,4384320,"Mono",4,1,12682.1999999285,614,250,"Image3.PNG",1
"145",40,4443776,"Mono",1,1,3794,606,246,"Image3.PNG",1
"146",51,4448050,"Mono",1,1,19308,607,242,"Image3.PNG",1
"147",61,4449137,"Mono",4,1,18386.0999999046,626,249,"Image3.PNG",1
"148",67,4449717,"Mono",1,1,5524.30000001192,330,251,"Image3.PNG",0
"149",78,4452039,"Mono",1,1,6718.10000000009,598,249,"Image3.PNG",1
"150",89,4454520,"Mono",2,1,9475.79999999888,606.0515625,245,"Image3.PNG",1
"151",97,4449574,"Mono",1,1,4239.5,609,248,"Image3.PNG",1
"152",107,4424285,"Mono",2,1,2399.30000001192,610,254,"Image3.PNG",1
"153",117,4404605,"Mono",3,1,11306.7,603,251,"Image3.PNG",1
"154",130,4381159,"Mono",4,1,5567.15000001714,611,254,"Image3.PNG",1
"155",135,4373538,"Mono",1,1,17090,608.952978056426,248,"Image3.PNG",1
"156",148,4336342,"Mono",4,1,21428,606,253,"Image3.PNG",1
"157",155,4333147,"Mono",2,1,9548.29999995232,600.940438871473,255,"Image3.PNG",1
"158",162,4450348,"Mono",2,1,3216.09999990463,601,243,"Image3.PNG",1
"159",174,4334877,"Mono",2,1,11870.7000000477,603,246,"Image3.PNG",1
"160",183,4392148,"Mono",1,1,5558.20000001788,604,253,"Image3.PNG",1
"161",196,4447985,"Mono",2,1,14183.5,603,247,"Image3.PNG",1
"162",203,4449420,"Mono",2,1,13228.5,597,249,"Image3.PNG",1
"163",211,4450899,"Mono",2,1,5178,597,244,"Image3.PNG",1
"164",222,4452506,"Mono",4,1,4231.00000000001,607,249,"Image3.PNG",1
"165",227,4449369,"Mono",2,1,3843.29999995232,615,255,"Image3.PNG",1
"166",235,4449101,"Mono",4,1,5130.40000000596,615,248,"Image3.PNG",1
"167",240,4445309,"Mono",1,1,10481.8000000715,613,251,"Image3.PNG",1
"168",248,4429865,"Mono",3,1,8372.77999985963,604,258,"Image3.PNG",1
"169",261,4408537,"Mono",4,1,4175.10000014305,588,257,"Image3.PNG",1
"170",271,4379880,"Mono",2,1,4201,615,250,"Image3.PNG",1
"171",280,4372219,"Mono",1,1,16398.8999999985,604,243,"Image3.PNG",1
"172",293,4354253,"Mono",2,1,6035.40000000037,607,249,"Image3.PNG",1
"173",304,4336146,"Mono",2,1,5214.5,604,258,"Image3.PNG",1
"174",316,4333569,"Mono",2,1,10472,613,251,"Image3.PNG",1
"175",327,4332728,"Mono",2,1,3412,613,245,"Image3.PNG",1
"176",340,4333147,"Binoc",3,1,6960.79999995232,597.935736677116,244,"Image3.PNG",1
"177",347,4333590,"Binoc",1,1,10990.5,604,254,"Image3.PNG",1
"178",358,4334401,"Binoc",1,1,4222.30000019073,603,253,"Image3.PNG",1
"179",373,4336342,"Binoc",3,1,2795,603,252,"Image3.PNG",1
"180",384,4339358,"Binoc",2,1,15048.3000000119,612,255,"Image3.PNG",1
"181",395,4373538,"Binoc",3,1,4049.69999998808,607.951410658307,249,"Image3.PNG",1
"182",406,4381159,"Binoc",3,1,5233.61500003375,605,250,"Image3.PNG",1
"183",415,4384320,"Binoc",2,1,4530.60000002384,593,258,"Image3.PNG",1
"184",427,4404605,"Binoc",3,1,9098.59999999963,599,249,"Image3.PNG",1
"185",438,4424285,"Binoc",2,1,3479.29999998212,599,250,"Image3.PNG",1
"186",450,4443776,"Binoc",2,1,3105,616,248,"Image3.PNG",1
"187",460,4448050,"Binoc",1,1,1835,613,239,"Image3.PNG",0
"188",471,4449137,"Binoc",2,1,2958.29999995232,605,249,"Image3.PNG",1
"189",480,4449574,"Binoc",1,1,6575.69999980927,607,252,"Image3.PNG",1
"190",492,4449717,"Binoc",2,1,3271.79999999702,608,255,"Image3.PNG",1
"191",502,4450348,"Binoc",4,1,1868.5,590,257,"Image3.PNG",1
"192",513,4452039,"Binoc",3,1,24106.1000000001,603,255,"Image3.PNG",1
"193",523,4454520,"Binoc",3,1,2415.09999999963,601.059375,245,"Image3.PNG",1
"194",532,4332728,"Binoc",3,1,2181,606,255,"Image3.PNG",1
"195",543,4336146,"Binoc",3,1,6387.19999999553,616,259,"Image3.PNG",1
"196",555,4372219,"Binoc",3,1,6342.89999999851,605,246,"Image3.PNG",1
"197",564,4379880,"Binoc",2,1,6018,607,245,"Image3.PNG",1
